"x"
20,6125523842633
18,3558002670167
18,3542664544228
32,4550241822057
10,7102288853875
31,2815736066129
7,217892667898
13,4240971776376
8,19556565419184
16,3312411730951
19,4110457436575
26,4595352840027
17,4032486784848
9,43565707368274
11,7815453466259
3,90697086218341
28,5365549127892
28,7796341330754
15,941469709149
13,5389909402443
13,3894165119211
13,9738181446321
9,74182036048355
6,45530891558548
33,039006671337
17,2767958205908
7,92551871912599
10,9519608864176
10,9454505567176
20,365226767433
14,7047712183587
11,60908652165
13,4280028583191
10,5458927260295
8,45898758941985
10,40036702888
17,1901437959552
17,4895940504414
8,09751814423592
7,48727818139414
12,0926589377023
10,0387702611086
15,5327071588557
5,05643390372519
19,6719144596038
15,526093696394
16,0998642439177
20,3044515108018
13,7479819464091
11,8571356606044
9,8920197480238
15,6189591910529
9,60803145785802
14,4017760527781
17,587683195588
18,260643635316
22,6245943081815
17,0207755360128
8,32632752635843
29,5193074357941
1,03070126640581
7,33602449458931
5,22713480191091
11,148398137849
13,6775292225287
24,0332062507089
9,16241062267746
6,49513427555168
23,3256058449296
20,2205278629234
16,7865739245861
19,7091106001555
12,3800851594778
11,7610384638472
14,3138987876042
9,75450941553576
15,2557447491718
9,42172041341945
17,9164348529681
14,3667706504671
5,97132153594019
5,93146390455189
13,4488115405335
19,0721047446062
25,9399250771804
7,31784723029992
13,2218808113951
11,7544014743984
9,94727037162661
9,96512242968331
24,7494512173559
20,4137848740202
5,28062664457461
14,3342216403655
21,3001624526092
25,7957297565207
22,37867358877
5,51702218319853
6,6726995217132
13,9544446564086
